"name","long","lat","callret-3","area"
"Budapest",19.0514,47.4925,"1752286",5.252e+08
"Békéscsaba",21.091,46.679,"59732",1.9393e+08
"Ajka",17.5522,47.1006,"29058",9.505e+07
"Heves",20.2881,47.5944,"10864",9.931e+07
"Esztergom",18.7403,47.7856,"28165",1.0035e+08
"Tószeg",20.14,47.0969,"4320",5.917e+07
"Zalaegerszeg",16.8472,46.8454,"61970",9.998e+07
"Miskolc",20.7917,48.1042,"154521",2.3668e+08
"Salgótarján",19.8075,48.104,"34627",1.0296e+08
"Szeged",20.145,46.255,"160766",2.8084e+08
"Szekszárd",18.7038,46.356,"33720",9.627e+07
"Szentes",20.1526,46.3907,"27898",3.5325e+08
"Szolnok",20.1965,47.1747,"71285",1.8724e+08
"Szombathely",16.6219,47.2351,"78025",9.752e+07
"Székesfehérvár",18.4138,47.1888,"97617",1.7089e+08
"Veszprém",17.9138,47.093,"56927",1.2693e+08
"Halásztelek",18.9878,47.3608,"8620",8.64e+06
"Jászberény",19.9167,47.5,"27439",2.2135e+08
"Érd",18.922,47.3784,"69431",6.054e+07
"Eger",20.3747,47.899,"53876",9.22e+07
"Kiskunfélegyháza",19.85,46.7052,"30172",2.563e+08
"Kiskunhalas",19.4885,46.432,"28997",2.2758e+08
"Mátraverebély",19.7752,47.9793,"2252",1.84e+07
"Nagykanizsa",16.9925,46.455,"47349",1.484e+08
"Nagykereki",21.7877,47.1872,"1275",3.727e+07
"Pécs",18.2331,46.0713,"145347",1.6261e+08
"Cegléd",19.802,47.1743,"38220",2.4487e+08
"Dunakeszi",19.1412,47.6303,"43490",3.106e+07
"Dunaújváros",18.9127,46.9807,"44640",5.266e+07
"Siófok",18.0901,46.9239,"25468",1.2466e+08
"Sopron",16.583,47.6849,"62246",1.6901e+08
"Debrecen",21.6392,47.53,"202402",4.6125e+08
"Hódmezövásárhely",20.3188,46.4304,"44009",4.8798e+08
"Kaposvár",17.7822,46.3638,"64280",1.1359e+08
"Kecskemét",19.6917,46.9075,"110813",3.2136e+08
"Kerepes",19.2832,47.5605,"9968",2.407e+07
"Keszthely",17.2481,46.7696,"19652",7.598e+07
"Nyíregyháza",21.7271,47.9531,"117689",2.7446e+08
"Orosháza",20.6667,46.5667,"28888",2.0222e+08
"Oroszlány",18.3127,47.4836,"20034",7.586e+07
"Tatabánya",18.39485,47.586161,"65849",91420000
"Szigetszentmiklós",19.048334,47.345554,"40105",45650000
"Györ",17.635,47.683889,"129301",174620000
