"name","long","lat","callret-3","area"
"Barcs",17.4601,45.9601,"10667",1.229e+08
"Battonya",21.0167,46.2833,"5960",1.4577e+08
"Beled",17.0968,47.4661,"2686",2.647e+07
"Belvárdgyula",18.4333,45.9667,"397",1.723e+07
"Budakalász",19.046,47.6215,"10660",1.517e+07
"Budakeszi",18.9281,47.5123,"14330",3.711e+07
"Budaörs",18.958,47.4607,"28394",2.359e+07
"Bábolna",17.9786,47.6428,"3789",3.359e+07
"Bácsalmás",19.3263,46.1239,"7190",1.0832e+08
"Bátonyterenye",19.8309,47.9906,"14240",8.009e+07
"Békés",21.1333,46.7667,"19763",1.2723e+08
"Bélapátfalva",20.3667,48.05,"3465",3.617e+07
"Bóly",18.5182,45.9673,"3887",2.534e+07
"Ajka",17.5522,47.1006,"29058",9.505e+07
"Albertirsa",19.6067,47.24,"12212",7.296e+07
"Harkány",18.2369,45.8476,"4219",2.569e+07
"Hatvan",19.6697,47.6681,"20228",8.066e+07
"Heves",20.2881,47.5944,"10864",9.931e+07
"Lábatlan",18.4875,47.748,"5316",2.635e+07
"Létavértes",21.9,47.3833,"7061",1.1662e+08
"Lörinci",19.6833,47.7333,"5557",3.329e+07
"Maglód",19.3526,47.4439,"10872",2.237e+07
"Mohács",18.6798,45.9959,"17808",1.1223e+08
"Monor",19.4383,47.3496,"21421",6.186e+07
"Monyoród",18.4803,46.0078,"136",7.12e+06
"Mosonmagyaróvár",17.2687,47.8737,"33954",8.378e+07
"Sellye",17.8458,45.872,"2911",2.518e+07
"Esztergom",18.7403,47.7856,"28165",1.0035e+08
"Fegyvernek",20.5333,47.2667,"6447",7.148e+07
"Fehérgyarmat",22.5172,47.985,"8089",5.246e+07
"Felsözsolca",20.8556,48.1087,"7120",1.624e+07
"Aba",18.5233,47.0307,"4426",8.805e+07
"Abaújszántó",21.1875,48.2785,"3202",4.736e+07
"Abádszalók",20.5989,47.475,"4279",1.3223e+08
"Adony",18.8654,47.1189,"3679",6.105e+07
"Cigánd",21.8918,48.2633,"3044",5.679e+07
"Csanádpalota",20.73,46.25,"3012",7.776e+07
"Csenger",22.6833,47.8333,"4870",3.616e+07
"Csongrád",20.1403,46.7113,"17686",1.83683e+08
"Csorna",17.25,47.6167,"10105",9.195e+07
"Csorvás",20.8335,46.6348,"4871",9.018e+07
"Csurgó",17.098,46.257,"4806",5.96e+07
"Csákvár",18.4605,47.3933,"5225",1.1876e+08
"Derecske",21.5718,47.3537,"8734",1.0358e+08
"Diósd",18.9458,47.4042,"9348",5.75e+06
"Dombóvár",18.1422,46.382,"20655",7.848e+07
"Lengyeltóti",17.6361,46.6683,"2920",3.957e+07
"Lenti",16.546,46.6238,"8541",7.38e+07
"Letenye",16.7225,46.4337,"4041",4.174e+07
