"name","long","lat","callret-3","area"
"Balogunyom",16.6456,47.1587,"1241",1.212e+07
"Balotaszállás",19.5333,46.35,"1657",1.0494e+08
"Balástya",20.0167,46.4167,"3436",1.1e+08
"Bana",17.9212,47.6499,"1752",2.513e+07
"Baracska",18.757,47.2874,"2729",3.968e+07
"Baranyahídvég",18.0167,45.85,"178",8.49e+06
"Barbacs",17.2968,47.646,"763",1.365e+07
"Barnag",17.7486,46.9804,"110",1.201e+07
"Basal",17.7842,46.0749,"208",4.04e+06
"Baskó",21.3366,48.3329,"218",2.964e+07
"Batyk",17.0359,46.9908,"409",8.09e+06
"Baté",17.9649,46.3596,"794",1.028e+07
"Becsehely",16.7871,46.4459,"2279",3.613e+07
"Becskeháza",20.8357,48.5295,"27",5e+06
"Bedegkér",18.0612,46.6515,"389",2.601e+07
"Bedö",21.7509,47.1639,"307",1.02e+07
"Bejcgyertyános",16.923,47.1487,"514",3.143e+07
"Bekölce",20.2742,48.0717,"591",1.377e+07
"Belecska",18.4187,46.6423,"451",1.44e+07
"Beleg",17.4106,46.316,"597",1.799e+07
"Belvárdgyula",18.4333,45.9667,"397",1.723e+07
"Bucsa",21.0,47.2,"2179",5.584e+07
"Bucsu",16.4949,47.2651,"594",1.654e+07
"Bucsuta",16.8354,46.5639,"258",1.619e+07
"Bugac",19.6833,46.6833,"3006",1.3111e+08
"Bugacpusztaháza",19.63,46.7,"308",4.3e+07
"Buj",21.65,48.1,"2287",3.276e+07
"Buzsák",17.5851,46.6431,"1318",5.968e+07
"Bábonymegyer",18.1106,46.7548,"796",2.193e+07
"Bácsbokod",19.1589,46.1219,"2567",6.393e+07
"Bácsborsód",19.159,46.0943,"1245",7.752e+07
"Bácsszentgyörgy",18.95,46.033,"207",1.473e+07
"Bácsszölös",19.45,46.15,"412",3.883e+07
"Bálványos",17.9524,46.7817,"556",2.369e+07
"Bánfa",17.8833,45.9833,"168",1.206e+07
"Bár",18.7156,46.0508,"522",9e+06
"Bárdudvarnok",17.6862,46.3283,"1102",4.856e+07
"Bársonyos",17.919,47.5114,"855",1.687e+07
"Báránd",21.2333,47.3,"2631",4.256e+07
"Báta",18.7717,46.1264,"1767",6.617e+07
"Bátmonostor",18.933,46.1,"1503",3.795e+07
"Bátorliget",22.2726,47.7624,"669",3.33e+07
"Bátya",18.95,46.4833,"2239",3.386e+07
"Béb",17.5994,47.3439,"241",7.04e+06
"Békás",17.3532,47.333,"210",6.52e+06
"Békésszentandrás",20.4833,46.8667,"3608",7.745e+07
"Békéssámson",20.6333,46.4167,"2381",7.125e+07
"Bélavár",17.2194,46.1219,"317",2.278e+07
"Bélmegyer",21.1833,46.8667,"968",6.305e+07
"Bénye",19.5389,47.3557,"1265",1.653e+07
"Bérbaltavár",16.9624,47.0086,"542",2.567e+07
"Bócsa",19.5,46.6,"1866",9.704e+07
"Bódvalenke",20.805,48.5428,"187",6.63e+06
"Bódvarákó",20.7359,48.5099,"146",9.22e+06
"Bózsva",21.4675,48.4747,"214",1.639e+07
"Böde",16.7206,46.8387,"307",9.17e+06
"Bögöt",16.8291,47.2535,"391",4.99e+06
"Bögöte",17.0427,47.088,"339",2.073e+07
"Böhönye",17.3929,46.4119,"2230",6.417e+07
"Bököny",21.75,47.7333,"3275",3.547e+07
"Bölcske",18.96,46.741,"2904",5.878e+07
"Börcs",17.4996,47.6868,"1075",1.277e+07
"Bükkmogyorósd",20.3558,48.1297,"168",9.9e+06
"Bükkszenterzsébet",20.1631,48.0519,"1067",2.486e+07
"Bükkszentkereszt",20.6334,48.0645,"1257",2.697e+07
"Bükkszék",20.1833,47.9833,"692",1.53e+07
"Bükkábrány",20.6793,47.8884,"1693",1.802e+07
"Büssü",17.9631,46.4575,"406",1.719e+07
"Büttös",21.0098,48.4789,"229",1.818e+07
"Bö",16.8165,47.3685,"679",1.066e+07
"Böny",17.8697,47.65,"2224",5.042e+07
"Böszénfa",17.8501,46.2422,"519",4.295e+07
"Bösárkány",17.2479,47.6884,"2151",2.332e+07
"Cakóháza",17.2861,47.6966,"60",2.88e+06
